source,accs,rec1,rec2,accs_d2,accs_d3
ar_120,0.57810219,0.483333333,0.683076923,,
ar_120,0.61459854,0.578171091,0.650289017,,
ar_120,0.598540146,0.491176471,0.704347826,,
ar_120,0.6,0.510703364,0.681564246,,
ar_120,0.617518248,0.525222552,0.706896552,,
ar_120,0.62189781,0.501457726,0.742690058,,
ar_120,0.588321168,0.541547278,0.636904762,,
ar_200,0.602272727,0.445652174,0.773809524,,
ar_200,0.602272727,0.511904762,0.684782609,,
ar_200,0.693181818,0.553191489,0.853658537,,
ar_200,0.653409091,0.488095238,0.804347826,,
ar_200,0.676136364,0.534883721,0.811111111,,
ar_200,0.568181818,0.481481481,0.642105263,,
ar_200,0.607954545,0.505263158,0.728395062,,
ar_200,0.647727273,0.551282051,0.724489796,,
ar_200,0.625,0.5125,0.71875,,
ar_200,0.602272727,0.488372093,0.711111111,,
ar_200,0.5625,0.364705882,0.747252747,,
ar_200,0.630681818,0.452631579,0.839506173,,
ar_200,0.585227273,0.462365591,0.722891566,,
ar_200,0.647727273,0.544444444,0.755813953,,
ar_200,0.596590909,0.483146067,0.712643678,,
ar_200,0.585227273,0.461538462,0.717647059,,
ar_200,0.630681818,0.517647059,0.736263736,,
ar_200,0.676136364,0.588888889,0.76744186,,
ar_200,0.642045455,0.6,0.681318681,,
ar_200,0.647727273,0.525641026,0.744897959,,
ar_200,0.693181818,0.55952381,0.815217391,,
ar_200,0.573863636,0.476744186,0.666666667,,
ar_200,0.664772727,0.537634409,0.807228916,,
ar_200,0.625,0.6,0.654320988,,
ar_200,0.659090909,0.569892473,0.759036145,,
ar_200,0.613636364,0.449438202,0.781609195,,
ar_200,0.653409091,0.524390244,0.765957447,,
ar_200,0.664772727,0.602272727,0.727272727,,
ar_200,0.653409091,0.579545455,0.727272727,,
ar_200,0.590909091,0.478723404,0.719512195,,
ar_240,0.861111111,0.722222222,1,,
ar_240,0.75,0.6,0.857142857,,
ar_240,0.75,0.631578947,0.882352941,,
ar_240,0.777777778,0.642857143,0.863636364,,
ar_240,0.916666667,0.9375,0.9,,
ar_240,0.722222222,0.684210526,0.764705882,,
ar_240,0.777777778,0.666666667,0.888888889,,
ar_240,0.777777778,0.666666667,0.833333333,,
ar_240,0.805555556,0.736842105,0.882352941,,
ar_240,0.694444444,0.533333333,0.80952381,,
ar_240,0.833333333,0.666666667,1,,
ar_240,0.666666667,0.5,0.75,,
ar_240,0.777777778,0.764705882,0.789473684,,
ar_240,0.805555556,0.705882353,0.894736842,,
ar_240,0.75,0.789473684,0.705882353,,
ar_240,0.75,0.652173913,0.923076923,,
ar_240,0.861111111,0.857142857,0.863636364,,
ar_240,0.666666667,0.545454545,0.857142857,,
ar_240,0.777777778,0.736842105,0.823529412,,
ar_240,0.805555556,0.6875,0.9,,
ar_240,0.722222222,0.571428571,0.933333333,,
ar_240,0.722222222,0.6,0.875,,
ar_240,0.805555556,0.727272727,0.928571429,,
ar_240,0.638888889,0.444444444,0.833333333,,
ar_240,0.777777778,0.75,0.8,,
ar_240,0.777777778,0.666666667,0.933333333,,
ar_240,0.722222222,0.692307692,0.739130435,,
ar_240,0.805555556,0.6875,0.9,,
ar_240,0.805555556,0.714285714,0.863636364,,
ar_240,0.777777778,0.666666667,1,,
